종목명,1년 전 가격 (2025-01-11),현재 가격 (2026-01-11),수익률 (%)
ZBH,$103.52 ,$92.85 ,-10.31%
DDOG,$140.42 ,$125.49 ,-10.63%
BBY,$79.02 ,$70.61 ,-10.64%
BLDR,$139.96 ,$124.66 ,-10.93%
FIS,$75.38 ,$66.84 ,-11.33%
BDX,$228.70 ,$202.75 ,-11.35%
AVB,$203.46 ,$179.37 ,-11.84%
LII,$604.30 ,$530.23 ,-12.26%
ROP,$499.34 ,$434.81 ,-12.92%
KHC,$26.93 ,$23.42 ,-13.04%
IFF,$79.50 ,$69.10 ,-13.08%
FICO,"$1,917.63 ","$1,665.53 ",-13.15%
FANG,$169.92 ,$147.41 ,-13.25%
DXCM,$77.76 ,$67.40 ,-13.32%
SW,$49.75 ,$42.98 ,-13.62%
CARR,$65.66 ,$56.25 ,-14.33%
CHD,$100.15 ,$85.78 ,-14.35%
OXY,$50.21 ,$42.86 ,-14.64%
MSI,$450.35 ,$383.14 ,-14.92%
PAYX,$134.83 ,$113.77 ,-15.62%
VRSK,$266.80 ,$224.87 ,-15.72%
XYZ,$82.54 ,$69.55 ,-15.74%
KVUE,$20.02 ,$16.83 ,-15.95%
FTNT,$94.56 ,$79.22 ,-16.22%
CSGP,$69.87 ,$58.49 ,-16.29%
IP,$51.96 ,$43.34 ,-16.59%
WST,$330.64 ,$275.52 ,-16.67%
WDAY,$249.71 ,$207.19 ,-17.03%
STZ,$177.28 ,$147.00 ,-17.08%
EOG,$127.04 ,$104.92 ,-17.41%
CRM,$315.77 ,$259.94 ,-17.68%
ADBE,$405.92 ,$333.95 ,-17.73%
ACN,$342.44 ,$280.67 ,-18.04%
KMB,$119.60 ,$97.92 ,-18.12%
ALGN,$212.12 ,$172.79 ,-18.54%
MRNA,$42.25 ,$34.30 ,-18.82%
HRL,$28.85 ,$23.23 ,-19.48%
TYL,$559.70 ,$448.37 ,-19.89%
GIS,$55.75 ,$44.60 ,-20.00%
BRO,$101.30 ,$80.64 ,-20.39%
ZTS,$161.18 ,$127.17 ,-21.10%
POOL,$321.10 ,$252.28 ,-21.43%
PAYC,$200.56 ,$157.17 ,-21.64%
TGT,$135.59 ,$105.52 ,-22.18%
GPN,$104.45 ,$79.52 ,-23.87%
CNC,$61.83 ,$46.61 ,-24.62%
OKE,$96.61 ,$72.70 ,-24.75%
CDW,$180.42 ,$133.49 ,-26.01%
LYB,$65.97 ,$48.71 ,-26.16%
CPB,$35.93 ,$26.43 ,-26.44%
DOW,$35.83 ,$26.33 ,-26.52%
ERIE,$382.68 ,$280.52 ,-26.70%
BAX,$28.90 ,$21.07 ,-27.09%
DVA,$153.40 ,$111.45 ,-27.35%
TPL,$430.97 ,$311.87 ,-27.64%
CPRT,$55.64 ,$39.83 ,-28.41%
CMG,$56.50 ,$40.11 ,-29.01%
CLX,$151.86 ,$106.19 ,-30.07%
LW,$59.18 ,$41.37 ,-30.09%
CAG,$24.28 ,$16.94 ,-30.22%
SWKS,$86.59 ,$60.17 ,-30.51%
PYPL,$83.17 ,$57.66 ,-30.67%
NOW,$204.91 ,$141.80 ,-30.80%
UNH,$508.01 ,$343.98 ,-32.29%
HPQ,$31.78 ,$21.47 ,-32.45%
ZBRA,$385.54 ,$259.48 ,-32.70%
FDS,$447.82 ,$294.45 ,-34.25%
MOH,$286.08 ,$181.50 ,-36.56%
CHTR,$334.89 ,$210.59 ,-37.12%
ARE,$89.23 ,$53.97 ,-39.52%
GDDY,$192.86 ,$113.54 ,-41.13%
LULU,$395.47 ,$203.90 ,-48.44%
IT,$489.00 ,$248.02 ,-49.28%
DECK,$207.50 ,$103.76 ,-50.00%
FISV,$200.51 ,$69.85 ,-65.16%
TTD,$118.80 ,$37.29 ,-68.61%
